Date,Precip,Discharge,Maxgage,Mingage,Gage,,Pdate,Pprecip,Pdischarge,UNITS
09/30/1989,0.36,15,,,,,09/30/1989,0.36A,15.0A,Precipitation=Daily Total in Inches
10/01/1989,2.19,37,,,,,10/01/1989,2.19A,37.0A,Discharge=cubic feet per sec
10/02/1989,0.79,86,,,,,10/02/1989,0.79A,86.0A,Gage=Feet
10/03/1989,0.02,33,,,,,10/03/1989,0.02A,33.0A,
10/04/1989,0.01,20,,,,,10/04/1989,0.01A,20.0A,
10/05/1989,0,18,,,,,10/05/1989,0.00A,18.0A,
10/06/1989,0,17,,,,,10/06/1989,0.00A,17.0A,
10/07/1989,0,16,,,,,10/07/1989,0.00A,16.0A,
10/08/1989,0,16,,,,,10/08/1989,0.00A,16.0A,
10/09/1989,0,15,,,,,10/09/1989,0.00A,15.0A,
10/10/1989,0,15,,,,,10/10/1989,0.00A,15.0A,
10/11/1989,0,14,,,,,10/11/1989,0.00A,14.0A,
10/12/1989,0.02,14,,,,,10/12/1989,0.02A,14.0A,
10/13/1989,0.02,14,,,,,10/13/1989,0.02A,14.0A,
10/14/1989,0,14,,,,,10/14/1989,0.00A,14.0A,
10/15/1989,0.02,14,,,,,10/15/1989,0.02A,14.0A,
10/16/1989,0.02,13,,,,,10/16/1989,0.02A,13.0A,
10/17/1989,0.01,13,,,,,10/17/1989,0.01A,13.0A,
10/18/1989,1.46,20,,,,,10/18/1989,1.46A,20.0A,
10/19/1989,0,40,,,,,10/19/1989,0.00A,40.0A,
10/20/1989,0.02,21,,,,,10/20/1989,0.02A,21.0A,
10/21/1989,0,16,,,,,10/21/1989,0.00A,16.0A,
10/22/1989,0,15,,,,,10/22/1989,0.00A,15.0A,
10/23/1989,0,14,,,,,10/23/1989,0.00A,14.0A,
10/24/1989,0,13,,,,,10/24/1989,0.00A,13.0A,
10/25/1989,0,14,,,,,10/25/1989,0.00A,14.0A,
10/26/1989,0,13,,,,,10/26/1989,0.00A,13.0A,
10/27/1989,0,13,,,,,10/27/1989,0.00A,13.0A,
10/28/1989,0,13,,,,,10/28/1989,0.00A,13.0A,
10/29/1989,0,13,,,,,10/29/1989,0.00A,13.0A,
10/30/1989,0,13,,,,,10/30/1989,0.00A,13.0A,
10/31/1989,0,14,,,,,10/31/1989,0.00A,14.0A,
11/01/1989,0,13,,,,,11/01/1989,0.00A,13.0A,
11/02/1989,0.95,20,,,,,11/02/1989,0.95A,20.0A,
11/03/1989,0,43,,,,,11/03/1989,0.00A,43.0A,
11/04/1989,0,19,,,,,11/04/1989,0.00A,19.0A,
11/05/1989,0,16,,,,,11/05/1989,0.00A,16.0A,
11/06/1989,0,15,,,,,11/06/1989,0.00A,15.0A,
11/07/1989,0,14,,,,,11/07/1989,0.00A,14.0A,
11/08/1989,0.03,15,,,,,11/08/1989,0.03A,15.0A,
11/09/1989,0.29,18,,,,,11/09/1989,0.29A,18.0A,
11/10/1989,0,16,,,,,11/10/1989,0.00A,16.0A,
11/11/1989,0,14,,,,,11/11/1989,0.00A,14.0A,
11/12/1989,0,14,,,,,11/12/1989,0.00A,14.0A,
11/13/1989,0,13,,,,,11/13/1989,0.00A,13.0A,
11/14/1989,0.02,13,,,,,11/14/1989,0.02A,13.0A,
11/15/1989,0.65,18,,,,,11/15/1989,0.65A,18.0A,
